GarageBand	pst	Mini Bass 2	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Mini Bass 2.pst
GarageBand	pst	Mini Bass 3	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Mini Bass 3.pst
GarageBand	pst	Mini Crusher	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Mini Crusher.pst
GarageBand	pst	Mini Dance	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Mini Dance.pst
GarageBand	pst	Mini Lead 1	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Mini Lead 1.pst
GarageBand	pst	Mini Lead 2	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Mini Lead 2.pst
GarageBand	pst	Mini Lead 3	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Mini Lead 3.pst
GarageBand	pst	Mini Lead 4	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Mini Lead 4.pst
GarageBand	pst	Mini Q Lead	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Mini Q Lead.pst
GarageBand	pst	New Luck	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/New Luck.pst
GarageBand	pst	Sonic Lead	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Sonic Lead.pst
GarageBand	pst	Techno Line	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Techno Line.pst
GarageBand	pst	Trance Sequence	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Trance Sequence.pst
GarageBand	pst	Wow Bass	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Mono/Wow Bass.pst
GarageBand	pst	Analog Dreams	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Analog Dreams.pst
GarageBand	pst	Atmo Pad 1	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Atmo Pad 1.pst
GarageBand	pst	Atmo Pad 2	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Atmo Pad 2.pst
GarageBand	pst	Atmo Pad 3	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Atmo Pad 3.pst
GarageBand	pst	Bright Pad	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Bright Pad.pst
GarageBand	pst	Chill Pad	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Chill Pad.pst
GarageBand	pst	Dancy Pad	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Dancy Pad.pst
GarageBand	pst	Dark Pad ModW	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Dark Pad ModW.pst
GarageBand	pst	Digi Synth	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Digi Synth.pst
GarageBand	pst	HPF Polysynth	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/HPF Polysynth.pst
GarageBand	pst	HPF Sweep	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/HPF Sweep.pst
GarageBand	pst	HiPass Pad ModW	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/HiPass Pad ModW.pst
GarageBand	pst	LPF Sweep	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/LPF Sweep.pst
GarageBand	pst	Perc Digisyn	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Perc Digisyn.pst
GarageBand	pst	Phasing HiPaPad	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Phasing HiPaPad.pst
GarageBand	pst	Phasing HiPaStabs	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Phasing HiPaStabs.pst
GarageBand	pst	Phasing LoPaPad	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Phasing LoPaPad.pst
GarageBand	pst	Phasing MixStabs	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Phasing MixStabs.pst
GarageBand	pst	Silent Pad	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Silent Pad.pst
GarageBand	pst	Softsyn	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Softsyn.pst
GarageBand	pst	Swell Pad	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Swell Pad.pst
GarageBand	pst	Warm Pad	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Pad/Warm Pad.pst
GarageBand	pst	Analog Swell	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Analog Swell.pst
GarageBand	pst	Avantgarde	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Avantgarde.pst
GarageBand	pst	Ballad King	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Ballad King.pst
GarageBand	pst	Blue Lead	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Blue Lead.pst
GarageBand	pst	Bright Swell	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Bright Swell.pst
GarageBand	pst	Dream Synth	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Dream Synth.pst
GarageBand	pst	Funky Synth	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Funky Synth.pst
GarageBand	pst	Medium Sweep	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Medium Sweep.pst
GarageBand	pst	No Resonance Pad	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/No Resonance Pad.pst
GarageBand	pst	PWM Arpeggio	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/PWM Arpeggio.pst
GarageBand	pst	PWM Atmosphere	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/PWM Atmosphere.pst
GarageBand	pst	PWM Lead	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/PWM Lead.pst
GarageBand	pst	PWM Percussive Synth	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/PWM Percussive Synth.pst
GarageBand	pst	PWM Slow Brass	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/PWM Slow Brass.pst
GarageBand	pst	Poly Basic 1	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Poly Basic 1.pst
GarageBand	pst	Poly Basic 2	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Poly Basic 2.pst
GarageBand	pst	Popular Synth	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Popular Synth.pst
GarageBand	pst	Resonance Organ	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Resonance Organ.pst
GarageBand	pst	Slow PWM Sweep	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Slow PWM Sweep.pst
GarageBand	pst	Synth Sheep	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Synth Sheep.pst
GarageBand	pst	Tacky	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Swirl/Tacky.pst
GarageBand	pst	Color 19	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Color 19.pst
GarageBand	pst	Digi Lead	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Digi Lead.pst
GarageBand	pst	Dry Bass	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Dry Bass.pst
GarageBand	pst	Feedback Lead	/Library/Application Support/GarageBand/Instrument Library/Plug-In Settings/Analog Sync/Feedback Lead.pst
